Source	Target	Interaction_in_cancer
NEFL	SUMO3	0
PEX11A	PEX13	0
PEX11A	PEX14	0
NQO1	MDM2	0
APLP1	PIAS4	0
PEX2	PEX13	0
MAPK8	MKNK1	0
CRY1	KDM2A	0
RAD51	FANCD2	0
EXOSC5	EXOSC5	0
RND1	ZNF408	0
PRPF3	DDX23	0
EEF1G	IMMT	0
ATF4	GNB2	0
PRPF3	PPIH	0
XRCC6	RECQL	0
PIAS4	PIAS4	0
SNRNP200	DDX23	0
SMAD3	TRIM33	0
SNRNP70	AKAP17A	0
ZNF3	GNB2	0
LSM7	LSM7	0
MCM2	ORC1	0
HDAC1	HEY2	0
GNL1	ZNF331	0
TBL1X	PARP1	0
YWHAE	ATP2B2	0
PRPF3	PRPF8	0
GDI1	IKZF4	0
ID3	DPF2	0
HIF1A	IKBKG	0
ZEB1	HDAC1	0
GTF2I	PRKG1	0
ATF3	CREB3L2	0
GNB2	PUF60	0
TCERG1	ZHX1	0
CNOT3	FHL2	0
ID3	ZNF331	0
RGS16	ADRA1D	0
ATP2B4	YWHAQ	0
DUSP6	ZNF626	0
GDI1	PIP4K2C	0
EXOSC8	MPHOSPH6	0
ZNF3	ATF4	0
ATF4	SAP30BP	0
NOL3	TRA2B	0
CFTR	CLCN1	0
ATF3	IKZF4	0
CNOT3	ZNF408	0
PEX11B	PEX13	0
LSM6	LSM2	0
EXOSC8	EXOSC4	0
NEFL	APLP1	0
ATF3	EPS8L2	0
DNAJB6	GFAP	0
CRY2	FBXL15	0
RACK1	PRKCQ	0
LSM3	LSM3	0
PRPF3	PRPF31	0
ZNF3	ZNF408	0
MLX	PUF60	0
ZNF3	PIP4K2C	0
RAB4A	RAB11FIP1	0
GNB2	ZNF331	0
NF2	WASF1	0
GNL1	DUSP6	0
BRD4	PCNA	0
CNOT3	DUSP6	0
ATF4	CREB3L2	0
ACP1	TIE1	0
ATF3	GDI1	0
RBL1	HDAC1	0
SUMO1	CHD3	0
PIP4K2C	MLX	0
MTREX	EXOSC7	0
SMAD3	SIN3A	0
EEF1G	SUMO3	0
ORC4	MCM2	0
MAPK8	GLYR1	0
GNL1	PIP4K2C	0
SAP30BP	SAP30BP	0
PEX11A	PEX11A	0
GNB2	ZNF626	0
CSK	RND1	0
USP39	USP39	0
MTREX	EXOSC4	0
DUSP6	ZNF331	0
CPLX1	SNAP25	0
CFD	C3	0
AGT	ACE	0
ERBB2	B2M	0
HNRNPC	B2M	0
CALR	B2M	0
CDC25B	B2M	0
VIPR1	B2M	0
LSP1	B2M	0
BMPR1A	ACVR2B	0
RANGAP1	RANBP2	0
UBE2E1	B2M	0
KPNA2	B2M	0
B2M	MLANA	0
B2M	SLCO2A1	0
B2M	SNX5	0
SNRPG	SNRPD1	0
RBX1	NEDD8	0
SEPTIN2	SEPTIN7	0
ENAH	ACTL7A	0
